Sample ID,Type,Top,Bottom,width,plot,D10 (mm):,D50 (mm):,D90 (mm):,(D90 / D10) (mm):,(D90 - D10) (mm):,(D75 / D25) (mm):,(D75 - D25) (mm):,D10 (f):,D50 (f):,D90 (f):,(D90 / D10) (f):,(D90 - D10) (f):,(D75 / D25) (f):,(D75 - D25) (f):,GRAVEL_Perc,SAND_Perc,MUD_Perc,Perc_VCOARSEGRAVEL,Perc_COARSEGRAVEL,Perc_MEDIUMGRAVEL,Perc_FGRAVEL,Perc_VFGRAVEL,Perc_VCOARSESAND,Perc_COARSESAND,Perc_MSAND,Perc_FSAND,Perc_VFSAND,Perc_VCOARSESILT,Perc_COARSESILT,Perc_MEDIUMSILT,Perc_FSILT,Perc_VFSILT,Perc_CLAY,Wet mass (g),Dry mass (g),Dry BD (g/mL),Dry BD (kg/m3),Water content (g),Organic matter (g),% OM LOI
UNB-1-1-0-1,N,0,1,1,0.5,0.903864178,5.125042525,36.00484232,39.83435033,35.10097815,6.614801854,11.401192,4.795665241,7.608220309,10.11160638,2.108488786,5.315941141,1.438341342,2.725697941,0,0.056655052,0.943344948,0,0,0,0,0,0,0,0.000377769,0.018176626,0.038100657,0.057095745,0.109516491,0.153388568,0.203816965,0.178222091,0.241305088,1.46281,0.31409,0.31409,314.09,1.14872,0.14206,45.22907447
UNB-1-1-1-2,N,1,2,1,1.5,1.173300774,8.055590717,53.98009028,46.00703542,52.80678951,7.415634751,18.93360189,4.2114288,6.955793899,9.735211391,2.311617233,5.523782591,1.524230567,2.890570187,0,0.085490824,0.914509176,0,0,0,0,0,0,0,0.001596254,0.033428104,0.050466467,0.091535422,0.153466186,0.177889511,0.180147066,0.137623111,0.173847879,2.07699,0.41291,0.41291,412.91,1.66408,0.22416,54.28785934
UNB-1-1-2-3,N,2,3,1,2.5,1.225788144,8.344426317,59.98577396,48.93649384,58.75998582,7.526420554,19.90783657,4.059235794,6.904971418,9.672074628,2.382732889,5.612838835,1.534810892,2.911963905,0,0.096383994,0.903616006,0,0,0,0,0,0,0,0.001266542,0.037695373,0.057422079,0.091208608,0.155739777,0.174404932,0.1780738,0.136734921,0.167453968,1.41421,0.25802,0.25802,258.02,1.15619,0.13113,50.82164173
UNB-1-1-3-4,N,3,4,1,3.5,1.244141193,8.899365686,70.07713131,56.3257062,68.83299012,7.498219116,21.07258884,3.834912472,6.812081775,9.650634064,2.516520034,5.815721592,1.542065666,2.906547985,0,0.109168925,0.890831075,0,0,0,0,0,0,0,0.000954196,0.044294109,0.06392062,0.093736706,0.151325314,0.181151863,0.174953761,0.129122693,0.160540739,1.25873,0.25157,0.25157,251.57,1.00716,0.09745,38.73673331
UNB-1-1-4-5,N,4,5,1,4.5,1.132815524,7.68027112,49.48566985,43.68378504,48.35285432,7.307741766,18.03196612,4.336845382,7.024627045,9.785871343,2.256449211,5.449025961,1.514142085,2.869425654,0,0.07199125,0.92800875,0,0,0,0,0,0,0,0.000384307,0.016369852,0.055237091,0.096716411,0.147871778,0.178654235,0.185167876,0.14034062,0.179257831,1.70827,0.38471,0.38471,384.71,1.32356,0.13626,35.41888695
UNB-1-1-5-6,N,5,6,1,5.5,1.746008862,15.165273,63.37028303,36.29436506,61.62427416,6.887469934,30.29911832,3.980049731,6.04308472,9.161723403,2.301911791,5.181673672,1.577797287,2.783974116,0,0.102835873,0.897164127,0,0,0,0,0,0,0,2.19E-05,0.018577831,0.08423615,0.184617245,0.204647734,0.170944265,0.135306417,0.090459636,0.11118883,1.40266,0.75591,0.75591,755.91,0.64675,0.06554,8.670344353
UNB-1-1-6-7,N,6,7,1,6.5,3.065825291,29.78398569,90.10645678,29.39060391,87.04063149,5.042249789,44.41232743,3.4722257,5.069319362,8.349508798,2.404656125,4.877283098,1.559193799,2.33406759,0,0.204145768,0.795854232,0,0,0,0,0,0,0,0.000488303,0.046963217,0.156694249,0.277859045,0.203554943,0.115161127,0.078560214,0.051997703,0.068721199,2.10196,1.22115,1.22115,1221.15,0.88081,0.09482,7.764811858
UNB-1-1-7-8,N,7,8,1,7.5,2.629582956,32.60273224,100.371719,38.17020444,97.74213607,6.050077955,50.95848866,3.316575266,4.938863317,8.570950274,2.584277331,5.254375009,1.643784671,2.596953731,0,0.240708067,0.759291933,0,0,0,0,0,0,0,0.000772916,0.05761651,0.182318641,0.273144037,0.168313989,0.102750152,0.079924723,0.056993021,0.07816601,1.56397,0.86769,0.86769,867.69,0.69628,0.069952,8.061865413
UNB-1-1-8-9,N,8,9,1,8.5,1.359995942,9.499830828,55.80046232,41.02987412,54.44046637,6.942379873,20.88790468,4.163579115,6.717882462,9.522181938,2.287018374,5.358602823,1.52184716,2.795430309,0,0.085304172,0.914695828,0,0,0,0,0,0,0,0.001384536,0.023314953,0.060604683,0.110834067,0.169936675,0.18833311,0.173269968,0.124739171,0.147582837,2.09434,0.60635,0.60635,606.35,1.48799,0.16785,27.68203183
UNB-1-1-9-10,N,9,10,1,9.5,1.161750289,7.027639964,30.17806255,25.97637618,29.01631226,5.38290899,12.62447623,5.050356003,7.152744003,9.74948428,1.930454858,4.699128277,1.403981261,2.428386034,0,0.032472995,0.967527005,0,0,0,0,0,0,0,1.81E-06,0.006432653,0.026038529,0.062473918,0.152892029,0.217212799,0.211408483,0.14866317,0.174876606,2.35745,0.95065,0.95065,950.65,1.4068,0.15247,16.03849997
